=== Training config ===
  algo=random  init=random  gens=200  popsize=48
  cpus=16  node=p1cmp019.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_200
  workdir=/tmp/tmp.y2W5AyBFuL
  started=Wed Apr 22 03:29:56 EDT 2026

Random search (105 params, popsize=48, gens=200, 5 cycles/eval)
  workers: 15
gen   1  best=-5.3157  mean=-40.3860  pop_best=-5.3157  dist=+0.0000m phases=1/60 z=0.122
gen   2  best=-5.3157  mean=-43.9061  pop_best=-5.3157
gen   3  best=-1.4701  mean=-40.9935  pop_best=-1.4701  dist=+0.0272m phases=4/60 z=0.176
gen   4  best=+91.9307  mean=-37.2570  pop_best=+91.9307  dist=+0.7330m phases=60/60 z=0.173
gen   5  best=+91.9307  mean=-23.1885  pop_best=+91.9307
gen   6  best=+91.9307  mean=-34.8545  pop_best=+91.9307
gen   7  best=+91.9307  mean=-44.7879  pop_best=+91.9307
gen   8  best=+91.9307  mean=-34.8529  pop_best=+91.9307
gen   9  best=+91.9307  mean=-30.6731  pop_best=+91.9307
gen  10  best=+91.9307  mean=-29.7968  pop_best=+91.9307
gen  11  best=+91.9307  mean=-45.1786  pop_best=+91.9307
gen  12  best=+91.9307  mean=-37.6567  pop_best=+91.9307
gen  13  best=+91.9307  mean=-55.2087  pop_best=+91.9307
gen  14  best=+91.9307  mean=-48.8369  pop_best=+91.9307
gen  15  best=+91.9307  mean=-27.6792  pop_best=+91.9307
gen  16  best=+91.9307  mean=-46.1289  pop_best=+91.9307
gen  17  best=+91.9307  mean=-70.6862  pop_best=+91.9307
gen  18  best=+91.9307  mean=-28.8029  pop_best=+91.9307
gen  19  best=+91.9307  mean=-33.2110  pop_best=+91.9307
gen  20  best=+91.9307  mean=-38.7371  pop_best=+91.9307
gen  21  best=+91.9307  mean=-28.1837  pop_best=+91.9307
gen  22  best=+91.9307  mean=-44.8257  pop_best=+91.9307
gen  23  best=+91.9307  mean=-33.1336  pop_best=+91.9307
gen  24  best=+91.9307  mean=-56.8192  pop_best=+91.9307
gen  25  best=+91.9307  mean=-28.8211  pop_best=+91.9307
gen  26  best=+91.9307  mean=-56.8819  pop_best=+91.9307
gen  27  best=+91.9307  mean=-32.4362  pop_best=+91.9307
gen  28  best=+91.9307  mean=-33.5486  pop_best=+91.9307
gen  29  best=+91.9307  mean=-30.1055  pop_best=+91.9307
gen  30  best=+91.9307  mean=-41.9683  pop_best=+91.9307
gen  31  best=+91.9307  mean=-16.6418  pop_best=+91.9307
gen  32  best=+91.9307  mean=-37.6765  pop_best=+91.9307
gen  33  best=+91.9307  mean=-35.1016  pop_best=+91.9307
gen  34  best=+91.9307  mean=-42.9177  pop_best=+91.9307
gen  35  best=+91.9307  mean=-39.9640  pop_best=+91.9307
gen  36  best=+91.9307  mean=-42.9496  pop_best=+91.9307
gen  37  best=+91.9307  mean=-28.3870  pop_best=+91.9307
gen  38  best=+91.9307  mean=-25.4190  pop_best=+91.9307
gen  39  best=+91.9307  mean=-23.1228  pop_best=+91.9307
gen  40  best=+91.9307  mean=-28.6374  pop_best=+91.9307
gen  41  best=+91.9307  mean=-27.7553  pop_best=+91.9307
gen  42  best=+91.9307  mean=-45.7995  pop_best=+91.9307
gen  43  best=+91.9307  mean=-47.4893  pop_best=+91.9307
gen  44  best=+91.9307  mean=-38.7995  pop_best=+91.9307
gen  45  best=+91.9307  mean=-51.2728  pop_best=+91.9307
gen  46  best=+91.9307  mean=-37.4760  pop_best=+91.9307
gen  47  best=+91.9307  mean=-46.4199  pop_best=+91.9307
gen  48  best=+91.9307  mean=-42.0947  pop_best=+91.9307
gen  49  best=+91.9307  mean=-41.6647  pop_best=+91.9307
gen  50  best=+91.9307  mean=-32.0804  pop_best=+91.9307
gen  51  best=+91.9307  mean=-23.6648  pop_best=+91.9307
gen  52  best=+91.9307  mean=-36.4736  pop_best=+91.9307
gen  53  best=+91.9307  mean=-44.3646  pop_best=+91.9307
gen  54  best=+91.9307  mean=-31.0994  pop_best=+91.9307
gen  55  best=+91.9307  mean=-47.1180  pop_best=+91.9307
gen  56  best=+91.9307  mean=-46.2391  pop_best=+91.9307
gen  57  best=+91.9307  mean=-49.3926  pop_best=+91.9307
gen  58  best=+91.9307  mean=-36.1323  pop_best=+91.9307
gen  59  best=+91.9307  mean=-27.0047  pop_best=+91.9307
gen  60  best=+91.9307  mean=-54.0734  pop_best=+91.9307
gen  61  best=+91.9307  mean=-32.2367  pop_best=+91.9307
gen  62  best=+91.9307  mean=-27.9271  pop_best=+91.9307
gen  63  best=+91.9307  mean=-27.9560  pop_best=+91.9307
gen  64  best=+91.9307  mean=-42.4065  pop_best=+91.9307
gen  65  best=+91.9307  mean=-56.3970  pop_best=+91.9307
gen  66  best=+91.9307  mean=-41.7269  pop_best=+91.9307
gen  67  best=+91.9307  mean=-22.0610  pop_best=+91.9307
gen  68  best=+91.9307  mean=-31.7018  pop_best=+91.9307
gen  69  best=+91.9307  mean=-18.5858  pop_best=+91.9307
gen  70  best=+91.9307  mean=-35.0783  pop_best=+91.9307
gen  71  best=+91.9307  mean=-22.3109  pop_best=+91.9307
gen  72  best=+91.9307  mean=-46.5400  pop_best=+91.9307
gen  73  best=+91.9307  mean=-41.4846  pop_best=+91.9307
gen  74  best=+91.9307  mean=-40.3487  pop_best=+91.9307
gen  75  best=+91.9307  mean=-67.7283  pop_best=+91.9307
gen  76  best=+91.9307  mean=-25.4487  pop_best=+91.9307
gen  77  best=+91.9307  mean=-22.0001  pop_best=+91.9307
gen  78  best=+91.9307  mean=-35.8400  pop_best=+91.9307
gen  79  best=+91.9307  mean=-58.7996  pop_best=+91.9307
gen  80  best=+91.9307  mean=-41.2212  pop_best=+91.9307
gen  81  best=+91.9307  mean=-30.2000  pop_best=+91.9307
gen  82  best=+91.9307  mean=-41.7842  pop_best=+91.9307
gen  83  best=+91.9307  mean=-37.1608  pop_best=+91.9307
gen  84  best=+91.9307  mean=-38.3184  pop_best=+91.9307
gen  85  best=+91.9307  mean=-24.3051  pop_best=+91.9307
gen  86  best=+91.9307  mean=-23.0269  pop_best=+91.9307
gen  87  best=+91.9307  mean=-40.2822  pop_best=+91.9307
