=== Training config ===
  algo=random  init=random  gens=2500  popsize=48
  cpus=16  node=p1cmp065.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_2500
  workdir=/tmp/tmp.GyKOy4F4Wn
  started=Wed Apr 22 09:46:45 EDT 2026

Random search (105 params, popsize=48, gens=2500, 5 cycles/eval)
  workers: 15
gen   1  best=-1.4962  mean=-31.9824  pop_best=-1.4962  dist=+0.0559m phases=4/60 z=0.173
gen   2  best=-1.4962  mean=-39.6517  pop_best=-1.4962
gen   3  best=+1.1054  mean=-32.3715  pop_best=+1.1054  dist=+0.0576m phases=3/60 z=0.171
gen   4  best=+3.8126  mean=-30.1937  pop_best=+3.8126  dist=+0.1529m phases=4/60 z=0.164
gen   5  best=+3.8126  mean=-29.1096  pop_best=+3.8126
gen   6  best=+3.8126  mean=-32.0385  pop_best=+3.8126
gen   7  best=+3.8126  mean=-40.3416  pop_best=+3.8126
gen   8  best=+3.8126  mean=-35.7676  pop_best=+3.8126
gen   9  best=+10.4044  mean=-34.1226  pop_best=+10.4044  dist=+0.1661m phases=3/60 z=0.177
gen  10  best=+10.4044  mean=-30.3391  pop_best=+10.4044
gen  11  best=+10.4044  mean=-33.3187  pop_best=+10.4044
gen  12  best=+10.4044  mean=-38.1863  pop_best=+10.4044
gen  13  best=+10.4044  mean=-42.2873  pop_best=+10.4044
gen  14  best=+10.4044  mean=-54.8970  pop_best=+10.4044
gen  15  best=+10.4044  mean=-37.2146  pop_best=+10.4044
gen  16  best=+10.4044  mean=-36.6140  pop_best=+10.4044
gen  17  best=+10.4044  mean=-41.2820  pop_best=+10.4044
gen  18  best=+10.4044  mean=-69.9972  pop_best=+10.4044
gen  19  best=+10.4044  mean=-57.7813  pop_best=+10.4044
gen  20  best=+10.4044  mean=-28.3964  pop_best=+10.4044
gen  21  best=+10.4044  mean=-55.5562  pop_best=+10.4044
gen  22  best=+10.4044  mean=-60.0431  pop_best=+10.4044
gen  23  best=+10.4044  mean=-30.4849  pop_best=+10.4044
gen  24  best=+10.4044  mean=-37.0397  pop_best=+10.4044
gen  25  best=+10.4044  mean=-74.2693  pop_best=+10.4044
gen  26  best=+10.4044  mean=-30.9398  pop_best=+10.4044
gen  27  best=+10.4044  mean=-41.0790  pop_best=+10.4044
gen  28  best=+10.4044  mean=-27.3731  pop_best=+10.4044
gen  29  best=+10.4044  mean=-58.2211  pop_best=+10.4044
gen  30  best=+10.4044  mean=-57.7220  pop_best=+10.4044
gen  31  best=+10.4044  mean=-56.0475  pop_best=+10.4044
gen  32  best=+10.4044  mean=-24.6756  pop_best=+10.4044
gen  33  best=+10.4044  mean=-30.7903  pop_best=+10.4044
gen  34  best=+10.4044  mean=-27.1471  pop_best=+10.4044
gen  35  best=+10.4044  mean=-45.3658  pop_best=+10.4044
